original,snake_case
District Names,district_names
State/UT,state_ut
Number of Households surveyed,number_of_households_surveyed
Number of Women age 15-49 years interviewed,number_of_women_age_15_49_years_interviewed
Number of Men age 15-54 years interviewed,number_of_men_age_15_54_years_interviewed
Female population age 6 years and above who ever attended school (%),female_population_age_6_years_and_above_who_ever_attended_school_pct
Population below age 15 years (%),population_below_age_15_years_pct
" Sex ratio of the total population (females per 1,000 males)",sex_ratio_of_the_total_population_females_per_1_000_males
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",sex_ratio_at_birth_for_children_born_in_the_last_five_years_females_per_1_000_males
Children under age 5 years whose birth was registered with the civil authority (%),children_under_age_5_years_whose_birth_was_registered_with_the_civil_authority_pct
Deaths in the last 3 years registered with the civil authority (%),deaths_in_the_last_3_years_registered_with_the_civil_authority_pct
Population living in households with electricity (%),population_living_in_households_with_electricity_pct
Population living in households with an improved drinking-water source1 (%),population_living_in_households_with_an_improved_drinking_water_source1_pct
Population living in households that use an improved sanitation facility2 (%),population_living_in_households_that_use_an_improved_sanitation_facility2_pct
Households using clean fuel for cooking3 (%),households_using_clean_fuel_for_cooking3_pct
Households using iodized salt (%),households_using_iodized_salt_pct
Households with any usual member covered under a health insurance/financing scheme (%),households_with_any_usual_member_covered_under_a_health_insurance_financing_scheme_pct
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),children_age_5_years_who_attended_pre_primary_school_during_the_school_year_2019_20_pct
Women (age 15-49) who are literate4 (%),women_age_15_49_who_are_literate4_pct
Women (age 15-49)  with 10 or more years of schooling (%),women_age_15_49_with_10_or_more_years_of_schooling_pct
Women age 20-24 years married before age 18 years (%),women_age_20_24_years_married_before_age_18_years_pct
Births in the 5 years preceding the survey that are third or higher order (%),births_in_the_5_years_preceding_the_survey_that_are_third_or_higher_order_pct
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),women_age_15_19_years_who_were_already_mothers_or_pregnant_at_the_time_of_the_survey_pct
Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),women_age_15_24_years_who_use_hygienic_methods_of_protection_during_their_menstrual_period5_pct
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any method6 (%),current_use_of_family_planning_methods_currently_married_women_age_15_49_years_any_method6_pct
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any modern method6 (%),current_use_of_family_planning_methods_currently_married_women_age_15_49_years_any_modern_method6_pct
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Female sterilization (%),current_use_of_family_planning_methods_currently_married_women_age_15_49_years_female_sterilization_pct
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Male sterilization (%),current_use_of_family_planning_methods_currently_married_women_age_15_49_years_male_sterilization_pct
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - IUD/PPIUD (%),current_use_of_family_planning_methods_currently_married_women_age_15_49_years_iud_ppiud_pct
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Pill (%),current_use_of_family_planning_methods_currently_married_women_age_15_49_years_pill_pct
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Condom (%),current_use_of_family_planning_methods_currently_married_women_age_15_49_years_condom_pct
Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Injectables (%),current_use_of_family_planning_methods_currently_married_women_age_15_49_years_injectables_pct
Total Unmet need for Family Planning (Currently Married Women Age 15-49  years)7 (%),total_unmet_need_for_family_planning_currently_married_women_age_15_49_years_7_pct
Unmet need for spacing (Currently Married Women Age 15-49  years)7 (%),unmet_need_for_spacing_currently_married_women_age_15_49_years_7_pct
Health worker ever talked to female non-users about family planning (%),health_worker_ever_talked_to_female_non_users_about_family_planning_pct
Current users ever told about side effects of current method of family planning8 (%),current_users_ever_told_about_side_effects_of_current_method_of_family_planning8_pct
Mothers who had an antenatal check-up in the first trimester  (for last birth in the 5 years before the survey) (%),mothers_who_had_an_antenatal_check_up_in_the_first_trimester_for_last_birth_in_the_5_years_before_the_survey_pct
Mothers who had at least 4 antenatal care visits  (for last birth in the 5 years before the survey) (%),mothers_who_had_at_least_4_antenatal_care_visits_for_last_birth_in_the_5_years_before_the_survey_pct
Mothers whose last birth was protected against neonatal tetanus (for last birth in the 5 years before the survey)9 (%),mothers_whose_last_birth_was_protected_against_neonatal_tetanus_for_last_birth_in_the_5_years_before_the_survey_9_pct
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (for last birth in the 5 years before the survey) (%),mothers_who_consumed_iron_folic_acid_for_100_days_or_more_when_they_were_pregnant_for_last_birth_in_the_5_years_before_the_survey_pct
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (for last birth in the 5 years before the survey} (%),mothers_who_consumed_iron_folic_acid_for_180_days_or_more_when_they_were_pregnant_for_last_birth_in_the_5_years_before_the_survey_pct
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (for last birth in the 5 years before the survey) (%),registered_pregnancies_for_which_the_mother_received_a_mother_and_child_protection_mcp_card_for_last_birth_in_the_5_years_before_the_survey_pct
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (for last birth in the 5 years before the survey) (%),mothers_who_received_postnatal_care_from_a_doctor_nurse_lhv_anm_midwife_other_health_personnel_within_2_days_of_delivery_for_last_birth_in_the_5_years_before_the_survey_pct
Average out-of-pocket expenditure per delivery in a public health facility (for last birth in the 5 years before the survey) (Rs.),average_out_of_pocket_expenditure_per_delivery_in_a_public_health_facility_for_last_birth_in_the_5_years_before_the_survey_rs
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (for last birth in the 5 years before the survey} (%),children_born_at_home_who_were_taken_to_a_health_facility_for_a_check_up_within_24_hours_of_birth_for_last_birth_in_the_5_years_before_the_survey_pct
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health personnel within 2 days of delivery (for last birth in the 5 years before the survey) (%),children_who_received_postnatal_care_from_a_doctor_nurse_lhv_anm_midwife_other_health_personnel_within_2_days_of_delivery_for_last_birth_in_the_5_years_before_the_survey_pct
Institutional births (in the 5 years before the survey) (%),institutional_births_in_the_5_years_before_the_survey_pct
Institutional births in public facility (in the 5 years before the survey) (%),institutional_births_in_public_facility_in_the_5_years_before_the_survey_pct
Home births that were conducted by skilled health personnel  (in the 5 years before the survey)10 (%),home_births_that_were_conducted_by_skilled_health_personnel_in_the_5_years_before_the_survey_10_pct
Births attended by skilled health personnel (in the 5 years before the survey)10 (%),births_attended_by_skilled_health_personnel_in_the_5_years_before_the_survey_10_pct
Births delivered by caesarean section (in the 5 years before the survey) (%),births_delivered_by_caesarean_section_in_the_5_years_before_the_survey_pct
Births in a private health facility that were delivered by caesarean section (in the 5 years before the survey) (%),births_in_a_private_health_facility_that_were_delivered_by_caesarean_section_in_the_5_years_before_the_survey_pct
Births in a public health facility that were delivered by caesarean section (in the 5 years before the survey) (%),births_in_a_public_health_facility_that_were_delivered_by_caesarean_section_in_the_5_years_before_the_survey_pct
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),children_age_12_23_months_fully_vaccinated_based_on_information_from_either_vaccination_card_or_mother_s_recall11_pct
Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),children_age_12_23_months_fully_vaccinated_based_on_information_from_vaccination_card_only12_pct
Children age 12-23 months who have received BCG (%),children_age_12_23_months_who_have_received_bcg_pct
Children age 12-23 months who have received 3 doses of polio vaccine13 (%),children_age_12_23_months_who_have_received_3_doses_of_polio_vaccine13_pct
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),children_age_12_23_months_who_have_received_3_doses_of_penta_or_dpt_vaccine_pct
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),children_age_12_23_months_who_have_received_the_first_dose_of_measles_containing_vaccine_mcv_pct
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),children_age_24_35_months_who_have_received_a_second_dose_of_measles_containing_vaccine_mcv_pct
Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),children_age_12_23_months_who_have_received_3_doses_of_rotavirus_vaccine14_pct
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),children_age_12_23_months_who_have_received_3_doses_of_penta_or_hepatitis_b_vaccine_pct
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),children_age_9_35_months_who_received_a_vitamin_a_dose_in_the_last_6_months_pct
Children age 12-23 months who received most of their vaccinations in a public health facility (%),children_age_12_23_months_who_received_most_of_their_vaccinations_in_a_public_health_facility_pct
Children age 12-23 months who received most of their vaccinations in a private health facility (%),children_age_12_23_months_who_received_most_of_their_vaccinations_in_a_private_health_facility_pct
Prevalence of diarrhoea in the 2 weeks preceding the survey (Children under age 5 years) (%) ,prevalence_of_diarrhoea_in_the_2_weeks_preceding_the_survey_children_under_age_5_years_pct
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (Children under age 5 years) (%) ,children_with_diarrhoea_in_the_2_weeks_preceding_the_survey_who_received_oral_rehydration_salts_ors_children_under_age_5_years_pct
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (Children under age 5 years) (%) ,children_with_diarrhoea_in_the_2_weeks_preceding_the_survey_who_received_zinc_children_under_age_5_years_pct
Children swith diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (Children under age 5 years) (%) ,children_swith_diarrhoea_in_the_2_weeks_preceding_the_survey_taken_to_a_health_facility_or_health_provider_children_under_age_5_years_pct
Children Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (Children under age 5 years) (%) ,children_prevalence_of_symptoms_of_acute_respiratory_infection_ari_in_the_2_weeks_preceding_the_survey_children_under_age_5_years_pct
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (Children under age 5 years) (%)  ,children_with_fever_or_symptoms_of_ari_in_the_2_weeks_preceding_the_survey_taken_to_a_health_facility_or_health_provider_children_under_age_5_years_pct
Children under age 3 years breastfed within one hour of birth15 (%),children_under_age_3_years_breastfed_within_one_hour_of_birth15_pct
Children under age 6 months exclusively breastfed16 (%),children_under_age_6_months_exclusively_breastfed16_pct
Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),children_age_6_8_months_receiving_solid_or_semi_solid_food_and_breastmilk16_pct
"Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",breastfeeding_children_age_6_23_months_receiving_an_adequate_diet16_17_pct
"Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",non_breastfeeding_children_age_6_23_months_receiving_an_adequate_diet16_17_pct
"Total children age 6-23 months receiving an adequate diet16, 17  (%)",total_children_age_6_23_months_receiving_an_adequate_diet16_17_pct
Children under 5 years who are stunted (height-for-age)18 (%),children_under_5_years_who_are_stunted_height_for_age_18_pct
Children under 5 years who are wasted (weight-for-height)18 (%),children_under_5_years_who_are_wasted_weight_for_height_18_pct
Children under 5 years who are severely wasted (weight-for-height)19 (%),children_under_5_years_who_are_severely_wasted_weight_for_height_19_pct
Children under 5 years who are underweight (weight-for-age)18 (%),children_under_5_years_who_are_underweight_weight_for_age_18_pct
Children under 5 years who are overweight (weight-for-height)20 (%),children_under_5_years_who_are_overweight_weight_for_height_20_pct
Women (age 15-49 years) whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),women_age_15_49_years_whose_body_mass_index_bmi_is_below_normal_bmi_18_5_kg_m2_21_pct
Women (age 15-49 years) who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),women_age_15_49_years_who_are_overweight_or_obese_bmi_25_0_kg_m2_21_pct
Women (age 15-49 years) who have high risk waist-to-hip ratio (≥0.85) (%),women_age_15_49_years_who_have_high_risk_waist_to_hip_ratio_0_85_pct
Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),children_age_6_59_months_who_are_anaemic_11_0_g_dl_22_pct
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),non_pregnant_women_age_15_49_years_who_are_anaemic_12_0_g_dl_22_pct
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),pregnant_women_age_15_49_years_who_are_anaemic_11_0_g_dl_22_pct
All women age 15-49 years who are anaemic22 (%),all_women_age_15_49_years_who_are_anaemic22_pct
All women age 15-19 years who are anaemic22 (%) ,all_women_age_15_19_years_who_are_anaemic22_pct
Women  age 15 years and above with high (141-160 mg/dl) Blood sugar level23 (%),women_age_15_years_and_above_with_high_141_160_mg_dl_blood_sugar_level23_pct
Women age 15 years and above wih very high (>160 mg/dl) Blood sugar level23 (%),women_age_15_years_and_above_wih_very_high_160_mg_dl_blood_sugar_level23_pct
Women age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level or taking medicine to control blood sugar level23 (%),women_age_15_years_and_above_wih_high_or_very_high_140_mg_dl_blood_sugar_level_or_taking_medicine_to_control_blood_sugar_level23_pct
Men age 15 years and above wih high (141-160 mg/dl) Blood sugar level23 (%),men_age_15_years_and_above_wih_high_141_160_mg_dl_blood_sugar_level23_pct
Men (age 15 years and above wih  very high (>160 mg/dl) Blood sugar level23 (%),men_age_15_years_and_above_wih_very_high_160_mg_dl_blood_sugar_level23_pct
Men age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level  or taking medicine to control blood sugar level23 (%),men_age_15_years_and_above_wih_high_or_very_high_140_mg_dl_blood_sugar_level_or_taking_medicine_to_control_blood_sugar_level23_pct
Women age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),women_age_15_years_and_above_wih_mildly_elevated_blood_pressure_systolic_140_159_mm_of_hg_and_or_diastolic_90_99_mm_of_hg_pct
Women age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),women_age_15_years_and_above_wih_moderately_or_severely_elevated_blood_pressure_systolic_160_mm_of_hg_and_or_diastolic_100_mm_of_hg_pct
Women age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),women_age_15_years_and_above_wih_elevated_blood_pressure_systolic_140_mm_of_hg_and_or_diastolic_90_mm_of_hg_or_taking_medicine_to_control_blood_pressure_pct
Men age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),men_age_15_years_and_above_wih_mildly_elevated_blood_pressure_systolic_140_159_mm_of_hg_and_or_diastolic_90_99_mm_of_hg_pct
Men age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),men_age_15_years_and_above_wih_moderately_or_severely_elevated_blood_pressure_systolic_160_mm_of_hg_and_or_diastolic_100_mm_of_hg_pct
Men age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),men_age_15_years_and_above_wih_elevated_blood_pressure_systolic_140_mm_of_hg_and_or_diastolic_90_mm_of_hg_or_taking_medicine_to_control_blood_pressure_pct
Women (age 30-49 years) Ever undergone a screening test for cervical cancer (%),women_age_30_49_years_ever_undergone_a_screening_test_for_cervical_cancer_pct
Women (age 30-49 years) Ever undergone a breast examination for breast cancer (%),women_age_30_49_years_ever_undergone_a_breast_examination_for_breast_cancer_pct
Women (age 30-49 years) Ever undergone an oral cavity examination for oral cancer (%),women_age_30_49_years_ever_undergone_an_oral_cavity_examination_for_oral_cancer_pct
Women age 15 years and above who use any kind of tobacco (%),women_age_15_years_and_above_who_use_any_kind_of_tobacco_pct
Men age 15 years and above who use any kind of tobacco (%),men_age_15_years_and_above_who_use_any_kind_of_tobacco_pct
Women age 15 years and above who consume alcohol (%),women_age_15_years_and_above_who_consume_alcohol_pct
Men age 15 years and above who consume alcohol (%),men_age_15_years_and_above_who_consume_alcohol_pct
